"","week","season","Home_Team","Away_Team","Home_EPA_rank","Away_EPA_rank","Proj_Winner","rank_diff"
"1",13,2020,"NO","ATL",4,16,"NO",12
"2",13,2020,"DET","CHI",29,27,"CHI",2
"3",13,2020,"CLE","TEN",11,8,"TEN",3
"4",13,2020,"CIN","MIA",26,12,"MIA",14
"5",13,2020,"JAX","MIN",31,18,"MIN",13
"6",13,2020,"LV","NYJ",20,32,"LV",12
"7",13,2020,"IND","HOU",17,23,"IND",6
"8",13,2020,"LA","ARI",5,9,"LA",4
"9",13,2020,"NYG","SEA",24,13,"SEA",11
"10",13,2020,"PHI","GB",25,2,"GB",23
"11",13,2020,"NE","LAC",22,14,"LAC",8
"12",13,2020,"DEN","KC",28,3,"KC",25
"13",13,2020,"WAS","PIT",21,1,"PIT",20
"14",13,2020,"BUF","SF",6,15,"BUF",9
"15",13,2020,"DAL","BAL",30,7,"BAL",23
