"","week","season","Home_Team","Away_Team","Home_EPA_rank","Away_EPA_rank","Proj_Winner"
"1",10,2020,"SEA","ARI",16,11,"ARI"
"2",10,2020,"CLE","PHI",13,22,"CLE"
"3",10,2020,"NO","ATL",8,18,"NO"
"4",10,2020,"WAS","CIN",24,23,"CIN"
"5",10,2020,"CAR","DET",21,27,"CAR"
"6",10,2020,"JAX","PIT",30,1,"PIT"
"7",10,2020,"BAL","TEN",6,17,"BAL"
"8",10,2020,"HOU","NE",28,20,"NE"
"9",10,2020,"DEN","MIA",29,10,"MIA"
"10",10,2020,"LAC","NYJ",14,32,"LAC"
"11",10,2020,"IND","GB",9,3,"GB"
"12",10,2020,"MIN","DAL",12,31,"MIN"
"13",10,2020,"LV","KC",15,2,"KC"
"14",10,2020,"TB","LA",5,4,"LA"
